,clean_sheets,goals_conceded,goals_scored,assists,bonus,bps,total_points,points,opponent_difficulty,next_opp_diff,was_home,value,value_efficiency,selected,transfers_balance,clean_sheets_ewm_3,clean_sheets_ewm_6,goals_conceded_ewm_3,goals_conceded_ewm_6,goals_scored_ewm_3,goals_scored_ewm_6,assists_ewm_3,assists_ewm_6,points_ewm_3,points_ewm_6,total_points_ewm_3,total_points_ewm_6
clean_sheets,1.0,-0.16077306829981977,0.08282820379973971,0.09170163116036094,0.4540494895935529,0.7056444051767925,0.28655267874061846,0.8010182394991029,-0.09534090981905903,0.00810839538671537,0.026408262673231916,0.20586638590479928,0.28183579543247056,0.17527637109351168,0.09890404048036235,0.6730924489282326,0.57989326191808,0.09238411059180099,0.1233132067221722,0.13384793292527888,0.13618199861030036,0.1497515088338413,0.15024966160529457,0.5548323031927355,0.4910071733032955,0.22986611045305388,0.22219385274605
goals_conceded,-0.16077306829981977,1.0,0.09730292293516359,0.10772745826938082,-0.0323877921372368,0.3085957704168958,0.2507800694209569,0.015130725579023799,0.1450188126316358,-0.008505310263520851,-0.0364545976508521,0.14937183131778423,0.2648747891912972,0.1419923091878003,0.06690684087441776,0.12405960520222874,0.1645453199398919,0.7318837121560472,0.6564460136985946,0.16356915698746372,0.16319530916418112,0.1783858508939382,0.18029665314101914,0.2717797565358715,0.29211551483257764,0.23840568822796007,0.23449786323444108
goals_scored,0.08282820379973971,0.09730292293516359,1.0,0.034459481470835655,0.3451229886131104,0.31227277714386964,0.12348982786194583,0.4740044959247352,-0.02228933859069098,0.010275035920645829,0.003473018706223623,0.08038898126521155,0.12245372843259981,0.06845881939968655,0.036463695687366626,0.11416951908176322,0.11268289331682788,0.10215623609691345,0.09539908152055085,0.6292326322932796,0.5103913095667888,0.04840346000200549,0.04949100447910198,0.2800995323111354,0.2370445075410475,0.09220598286755666,0.08855125200291501
assists,0.09170163116036094,0.10772745826938082,0.034459481470835655,1.0,0.3455281761946919,0.35262654450593517,0.13896322810672543,0.37648618542990187,-0.030467091022099213,-0.007855995023786866,0.011321568580571102,0.13611409202801816,0.12622683167412224,0.13922159572893728,0.07369075125358289,0.12280603134572834,0.12415533093865101,0.12429181658702244,0.12064264366417458,0.05780601627662681,0.05617975917773319,0.6469630522733134,0.5418972607924172,0.26482595250967195,0.2380863628464259,0.11391488599922467,0.11156560948234223
bonus,0.4540494895935529,-0.0323877921372368,0.3451229886131104,0.3455281761946919,1.0,0.5575320630514516,0.2116452150165561,0.6948156546321157,-0.06295498459146545,0.004425220469101662,0.019483657833706158,0.16933101833159084,0.20061404145042686,0.1680513353412557,0.07648528716754596,0.34896969624539653,0.31195296485014934,0.08457383089182721,0.09769343353064232,0.2604016728987179,0.22415453617430006,0.27808784171176626,0.24906503373824437,0.4421714240456806,0.3836967093244826,0.16415230787014284,0.1583732309691783
bps,0.7056444051767925,0.3085957704168958,0.31227277714386964,0.35262654450593517,0.5575320630514516,1.0,0.47442368126425094,0.8882875318732416,-0.06927178120449404,-0.0027041671112402054,0.014219618103273561,0.34935077825005184,0.4705349612208622,0.30708813829978626,0.16028649992351557,0.6739845720612497,0.6325398610226796,0.4590435429557435,0.4551214647999286,0.33428859861176846,0.3152895219254087,0.37222029097032167,0.3528762550350409,0.7678924947489886,0.7117884810800547,0.4067495407024855,0.3966471486809174
total_points,0.28655267874061846,0.2507800694209569,0.12348982786194583,0.13896322810672543,0.2116452150165561,0.47442368126425094,1.0,0.39174264111693574,-0.01805132072087443,-0.009721966439624884,0.0005438495451463136,0.4869018902739779,0.9842636966965866,0.5122252185063717,0.08106302202696306,0.5627733641797324,0.6137965197124132,0.40318846863992497,0.4253542537431057,0.2840384024663799,0.31712707843041404,0.2977280875579486,0.32931136178470566,0.6512310781850008,0.6951625564777891,0.993226975422652,0.9879417307888724
points,0.8010182394991029,0.015130725579023799,0.4740044959247352,0.37648618542990187,0.6948156546321157,0.8882875318732416,0.39174264111693574,1.0,-0.10059788203259218,0.007713686981311176,0.02738139907142771,0.28880401401519823,0.38527668048152564,0.2561479390856412,0.13723447946484346,0.6487466263863078,0.5872049806632376,0.24302285198676035,0.2617389793182062,0.39766421516683,0.35448545606272086,0.35325590582508504,0.3276957595984509,0.7268415782482484,0.6507771448077534,0.32016345300253723,0.31059706479220134
opponent_difficulty,-0.09534090981905903,0.1450188126316358,-0.02228933859069098,-0.030467091022099213,-0.06295498459146545,-0.06927178120449404,-0.01805132072087443,-0.10059788203259218,1.0,-0.07303311975852814,-0.145886529495905,-0.0167344159219383,-0.016626262881937446,-0.020850260675777284,-0.06399990685002808,-0.044478303677748,-0.03527981977166054,0.05459507481579744,0.040476920096579355,-0.012668305145715288,-0.010160400112468642,-0.021253715991682704,-0.01747772412598754,-0.04077219639841775,-0.03116472003302893,-0.013153708808076687,-0.012900159783445433
next_opp_diff,0.00810839538671537,-0.008505310263520851,0.010275035920645829,-0.007855995023786866,0.004425220469101662,-0.0027041671112402054,-0.009721966439624884,0.007713686981311176,-0.07303311975852814,1.0,0.07067776267540003,-0.011483585730341783,-0.007843909881617676,-0.011504297314397097,-0.025127606189466092,0.006810442982859423,0.005775768969482596,-0.008860632286817034,-0.008226318933669333,0.0046208812155108395,0.004888889109829072,-0.006476828326267427,-0.005871089974516046,0.0060460458761649825,0.0056934151552455094,-0.010642900693365202,-0.010850949661276128
