,feature,importance,importance_mean,importance_std,importance_ratio,mean_abs_correlation,max_abs_correlation
0,bps,0.26056585,0.10959309543498266,0.0017916060829300186,2.3775753949117684,0.4389363144496388,1.0
1,points_ewm_3,0.10594445,0.11281021428335587,0.0008274969871130299,0.9391387818239695,0.5053426260224918,1.0
2,next_opp_diff,0.058747157,0.05988233818391808,0.0016379603382746528,0.9810431462121451,0.049768304530766715,1.0
3,goals_conceded,0.038393226,0.016338473794529684,0.0005983795924484032,2.349866089310235,0.22907417563666665,1.0
4,points_ewm_6,0.03819189,0.03206916545890626,0.0003555176469635755,1.1909224307791237,0.5041170082725065,1.0
5,value,0.029690517,0.047458214235793925,0.001319531059803106,0.6256138708695775,0.30381083709484213,1.0
6,total_points_ewm_6,0.026113875,0.024690820279267323,0.0007499226384139421,1.0576349799205655,0.39206272372206663,1.0
7,total_points_ewm_3,0.025288628,0.02468288038951085,0.0007409274514336121,1.0245412210894085,0.3975733799188574,1.0
8,clean_sheets_ewm_3,0.024933975,0.0758299114775836,0.0005524614721471197,0.32881451005379425,0.4121908043647783,1.0
9,clean_sheets_ewm_6,0.024893817,0.060137621088779424,0.0011081656361468357,0.4139474776322928,0.42073511096578475,1.0
10,selected,0.02452745,0.039934697014900176,0.00027939042128708374,0.6141889382975101,0.3101425682493847,1.0
11,goals_conceded_ewm_3,0.024377655,0.04164408860726247,0.0006717483548552115,0.5853809280787531,0.3138115967573186,1.0
12,points,0.024032367,0.01436382858294527,0.0002422062221978507,1.6731171118199644,0.4084013174461457,1.0
13,assists_ewm_6,0.022742454,0.015887135637168658,0.0002978369238617006,1.4315012146908024,0.3067632102753898,1.0
14,goals_conceded_ewm_6,0.02266221,0.02601662781735581,0.00060085832971307,0.8710663620967968,0.3191054234272763,1.0
