,feature,importance_mean,importance_std
23,points_ewm_3,0.11281021428335587,0.0008274969871130299
5,bps,0.10959309543498266,0.0017916060829300186
15,clean_sheets_ewm_3,0.0758299114775836,0.0005524614721471197
14,transfers_balance,0.06688941732286764,0.0007863254414199205
16,clean_sheets_ewm_6,0.060137621088779424,0.0011081656361468357
9,next_opp_diff,0.05988233818391808,0.0016379603382746528
11,value,0.047458214235793925,0.001319531059803106
17,goals_conceded_ewm_3,0.04164408860726247,0.0006717483548552115
13,selected,0.039934697014900176,0.00027939042128708374
24,points_ewm_6,0.03206916545890626,0.0003555176469635755
18,goals_conceded_ewm_6,0.02601662781735581,0.00060085832971307
26,total_points_ewm_6,0.024690820279267323,0.0007499226384139421
25,total_points_ewm_3,0.02468288038951085,0.0007409274514336121
12,value_efficiency,0.02089649871239001,0.000607386822420581
6,total_points,0.019999132286093225,0.00020173537869499814
1,goals_conceded,0.016338473794529684,0.0005983795924484032
22,assists_ewm_6,0.015887135637168658,0.0002978369238617006
7,points,0.01436382858294527,0.0002422062221978507
21,assists_ewm_3,0.013872525340917296,0.000255537699420037
19,goals_scored_ewm_3,0.013483991472612412,0.0002470196908616737
20,goals_scored_ewm_6,0.012401036474065097,0.00018760787308022786
8,opponent_difficulty,0.007037380022107187,0.000284796243381939
10,was_home,0.0045567717980352414,9.112507195948685e-05
4,bonus,0.0020495852675266324,5.91865468258231e-05
0,clean_sheets,0.0010611455805060953,7.801828403695284e-05
3,assists,0.0006105795702763706,6.60295814741029e-05
2,goals_scored,0.00030691545216210425,2.7159223328807963e-05
