,feature,importance,importance_mean,importance_std,importance_ratio,mean_abs_correlation,max_abs_correlation
0,creativity,0.13730875,0.07399311593175621,0.001312603219278325,1.8556962339976186,0.44164699284615977,1.0
1,ict_index,0.08131425,0.038407802586810334,0.0005148819890152414,2.117128430949597,0.577497573082483,1.0
2,threat,0.051059805,0.03867664597513063,0.0009479539783109745,1.3201714773718751,0.5168624209732758,1.0
3,threat_ewm_6,0.04712694,0.0351243351630939,0.0011369804972094222,1.3417176770480925,0.5924666118710129,1.0
4,points_ewm_3,0.04146023,0.07945552863908675,0.0012534726897893357,0.5218042300727352,0.6373617989501199,1.0
5,points_ewm_6,0.03394731,0.04676523071970642,0.001262059461198781,0.72590920261316,0.6289966722359402,1.0
6,influence,0.032663524,0.07533394595431298,0.0017981858991457775,0.43358307781537836,0.531627555106574,1.0
7,next_opp_diff,0.032619074,0.030121298183342304,0.001901348910823199,1.082923909469684,0.04235490142679657,1.0
8,value,0.028325222,0.05641707133998697,0.0012643884784017683,0.5020682881944846,0.3913641025016196,1.0
9,points,0.02766419,0.05509314043493625,0.0010121827589900684,0.5021349289557877,0.5584264118233947,1.0
10,threat_ewm_3,0.02731373,0.04279199390945763,0.0007424987929329576,0.6382906532918796,0.5973518275115945,1.0
11,goals_scored_ewm_6,0.02667954,0.03582845395298033,0.0014027768818692576,0.74464670141846,0.5697039157041681,1.0
12,creativity_ewm_3,0.025886344,0.12135805288180693,0.0018243490303547613,0.21330553001943856,0.5408151199759608,1.0
13,total_points_ewm_3,0.02579022,0.017302475750056546,0.00047998438372035885,1.4905508609902478,0.4712792575135468,1.0
14,selected,0.025609769,0.051565759258417464,0.0014296286498250035,0.49664291373576247,0.4252901296584474,1.0
