,feature,importance_mean,importance_std
21,creativity_ewm_3,0.12135805288180693,0.0018243490303547613
14,value_efficiency,0.11913904266763957,0.004873685511214212
27,points_ewm_3,0.07945552863908675,0.0012534726897893357
3,influence,0.07533394595431298,0.0017981858991457775
2,creativity,0.07399311593175621,0.001312603219278325
13,value,0.05641707133998697,0.0012643884784017683
23,influence_ewm_3,0.05512896109193037,0.0010283878519112132
9,points,0.05509314043493625,0.0010121827589900684
22,creativity_ewm_6,0.05174745841489634,0.0006882998809275827
15,selected,0.051565759258417464,0.0014296286498250035
28,points_ewm_6,0.04676523071970642,0.001262059461198781
25,threat_ewm_3,0.04279199390945763,0.0007424987929329576
16,transfers_balance,0.04024666210752459,0.0007850081853587554
8,total_points,0.038812415678583866,0.0007974884197446233
4,threat,0.03867664597513063,0.0009479539783109745
5,ict_index,0.038407802586810334,0.0005148819890152414
18,goals_scored_ewm_6,0.03582845395298033,0.0014027768818692576
26,threat_ewm_6,0.0351243351630939,0.0011369804972094222
19,assists_ewm_3,0.03366887817613169,0.0013445745613531864
7,bps,0.03205530156658833,0.0009172058074536691
11,next_opp_diff,0.030121298183342304,0.001901348910823199
24,influence_ewm_6,0.03006702181641536,0.0005029472373347928
17,goals_scored_ewm_3,0.029491294957489412,0.0005539963092025924
30,total_points_ewm_6,0.019535555466441545,0.0003891568560431161
29,total_points_ewm_3,0.017302475750056546,0.00047998438372035885
20,assists_ewm_6,0.016019981653050342,0.0005522921347221477
10,opponent_difficulty,0.006279069598628095,0.0005051016912586157
12,was_home,0.00419578798104705,0.0003453241759117936
6,bonus,0.0023024207025538644,0.00014293172609624455
1,assists,0.0008469882821763974,4.449159338548234e-05
0,goals_scored,0.00021576545032531147,2.8418759738729435e-05
