,saves,clean_sheets,goals_conceded,penalties_saved,bonus,bps,total_points,points,opponent_difficulty,next_opp_diff,was_home,value,value_efficiency,selected,transfers_balance,saves_ewm_3,saves_ewm_6,clean_sheets_ewm_3,clean_sheets_ewm_6,goals_conceded_ewm_3,goals_conceded_ewm_6,points_ewm_3,points_ewm_6,total_points_ewm_3,total_points_ewm_6
saves,1.0,0.30906316116188376,0.6076262763500005,0.12610717458234677,0.4314599314877803,0.8343347413815095,0.5227958949306738,0.683335984170233,0.07036171857173051,-0.005191791455420577,-0.038370520960521855,0.44155150945028715,0.5337192207580611,0.41299037610352557,0.10621251427362705,0.8370635682709205,0.7925958697481122,0.4994098826790987,0.5090870083123277,0.6871733872504648,0.6746098867599222,0.7168299666233231,0.6964580602517954,0.4811701146093796,0.47450338746533566
clean_sheets,0.30906316116188376,1.0,-0.11052755304378235,0.03845933823995674,0.5303586401386694,0.683929051778458,0.35844675076453714,0.831975075750782,-0.08001987453122955,0.007594055836953539,0.026143383310555268,0.34616861925102893,0.35125389304885085,0.2797200753140307,0.11147714790267314,0.35354286211844843,0.35357117306368024,0.7005147375289184,0.6221290546436936,0.1910577949942432,0.22894423249841464,0.5790470219266266,0.5306714093031281,0.31529822844544286,0.30987970789615643
goals_conceded,0.6076262763500005,-0.11052755304378235,1.0,0.0839866302150083,-0.006763305103849142,0.4487445357177606,0.41223637768203547,0.17248602441269234,0.11530335294475705,-0.004127205249152985,-0.026424993218775398,0.3593848631346059,0.4228907104998243,0.3431888574607081,0.07521219886509549,0.6414627117067965,0.6245818923531604,0.24953294187635514,0.2990064947184986,0.7800350060515322,0.7217149835537529,0.4647535955705553,0.48589590974942676,0.3962147512981465,0.3923673107959978
penalties_saved,0.12610717458234677,0.03845933823995674,0.0839866302150083,1.0,0.29521099518709376,0.2126078476278758,0.07268158779557372,0.2874199253035284,0.009441507030127744,0.0012647606754769328,-0.009156969669226996,0.04755407223508756,0.07720744865734758,0.06523282126540225,-0.008536793942534983,0.11410828334948149,0.10548094958724077,0.06386687986068983,0.06808573118146719,0.09968237936298133,0.0947025524756951,0.16836966444455864,0.14771817771758952,0.058447128969356256,0.057073784479871735
bonus,0.4314599314877803,0.5303586401386694,-0.006763305103849142,0.29521099518709376,1.0,0.5610981347335473,0.24713735021954494,0.7207377432775237,-0.014189847123225689,-0.004208300897401117,-0.004614862844554791,0.18701509471484246,0.2525952827486894,0.17902421645548136,0.04719978888320945,0.340538253350112,0.3193238095712483,0.39323626543599005,0.3537117306046879,0.18148055171809846,0.20155209342938926,0.4466989009839326,0.3964107617699138,0.20992054285467004,0.20537303183083863
bps,0.8343347413815095,0.683929051778458,0.4487445357177606,0.2126078476278758,0.5610981347335473,1.0,0.623320557765605,0.9203315737904064,-0.011274256496015336,-0.0027470880732564417,-0.007162400920340456,0.5598032987405955,0.6251888962899748,0.49198319685847347,0.15072996630677785,0.812920707839934,0.7892920275133188,0.7462115683443477,0.7273049896866528,0.6588337594865142,0.6665531878929889,0.8661721679680281,0.8330299495669755,0.5717021517572256,0.5638658361541665
total_points,0.5227958949306738,0.35844675076453714,0.41223637768203547,0.07268158779557372,0.24713735021954494,0.623320557765605,1.0,0.5310366195694164,-0.0060801459771137635,-0.001997189528043627,0.001969712877105336,0.6381772925819409,0.993860693600327,0.6072897654427688,0.08252947662908043,0.6860582716304742,0.7136140242423643,0.6399862398220958,0.6844988476265784,0.5962436364846901,0.6221934688114082,0.7411161565862618,0.7719876150169678,0.9957774811894781,0.9928131710659538
points,0.683335984170233,0.831975075750782,0.17248602441269234,0.2874199253035284,0.7207377432775237,0.9203315737904064,0.5310366195694164,1.0,-0.04607199354800053,0.0034602039651360182,0.006596939514829035,0.48360762513979716,0.5305760977588689,0.4220220806364631,0.13536527754897726,0.6634359651236132,0.6446775365887815,0.7475271235999961,0.7031354799984745,0.465177952085862,0.49109229412672767,0.8046527721552613,0.7552485724185384,0.47656914350862967,0.46923020125039494
opponent_difficulty,0.07036171857173051,-0.08001987453122955,0.11530335294475705,0.009441507030127744,-0.014189847123225689,-0.011274256496015336,-0.0060801459771137635,-0.04607199354800053,1.0,-0.07278810450308906,-0.14710901457849887,-0.0027118419942063323,-0.004539428071468099,-0.013367859648324843,-0.09163327620235365,0.026337691391033036,0.020620210759983718,-0.03312956679137242,-0.02528805784515608,0.04006131888243627,0.029528610162189155,-0.011625107221989919,-0.0073181968925916845,-0.004709203128115922,-0.0046638123878652476
next_opp_diff,-0.005191791455420577,0.007594055836953539,-0.004127205249152985,0.0012647606754769328,-0.004208300897401117,-0.0027470880732564417,-0.001997189528043627,0.0034602039651360182,-0.07278810450308906,1.0,0.07186413904560475,0.0009399970513295668,-0.0006763951038115423,-0.002059461595188398,-0.011981215243986642,0.0043578900085019644,0.004708496366709901,0.008025754250598212,0.007371052660342512,-0.0047390927866560835,-0.004169262021634235,0.008723708980169347,0.008487683662589488,-0.0029192786523630576,-0.0030887725827309174
was_home,-0.038370520960521855,0.026143383310555268,-0.026424993218775398,-0.009156969669226996,-0.004614862844554791,-0.007162400920340456,0.001969712877105336,0.006596939514829035,-0.14710901457849887,0.07186413904560475,1.0,0.001502475033561082,0.0017181447354348144,0.005439649593817475,0.025121949607327013,-0.00463124136393271,-0.002532287315051104,0.004280425858711153,0.00249590137005651,-0.004576028767758467,-0.003454908907954962,0.002132196293440693,0.0019996364627964227,0.0018437833406888436,0.0018302524288108873
value,0.44155150945028715,0.34616861925102893,0.3593848631346059,0.04755407223508756,0.18701509471484246,0.5598032987405955,0.6381772925819409,0.48360762513979716,-0.0027118419942063323,0.0009399970513295668,0.001502475033561082,1.0,0.5934355431836769,0.47729027881656527,0.022327320412475496,0.5761758187157936,0.5988934262701195,0.6200185068617304,0.6659274638013125,0.5139186110956043,0.5345366372335187,0.6767456422478694,0.7073052644459545,0.6216475297443628,0.6237281984028631
value_efficiency,0.5337192207580611,0.35125389304885085,0.4228907104998243,0.07720744865734758,0.2525952827486894,0.6251888962899748,0.993860693600327,0.5305760977588689,-0.004539428071468099,-0.0006763951038115423,0.0017181447354348144,0.5934355431836769,1.0,0.6054322983921011,0.08023255720769515,0.7002215007519353,0.7278372687518478,0.6250436543985226,0.667382842142878,0.6134032083345704,0.6407722619076982,0.7391275093065599,0.7688940866288725,0.9889139410681043,0.9854478041031031
selected,0.41299037610352557,0.2797200753140307,0.3431888574607081,0.06523282126540225,0.17902421645548136,0.49198319685847347,0.6072897654427688,0.4220220806364631,-0.013367859648324843,-0.002059461595188398,0.005439649593817475,0.47729027881656527,0.6054322983921011,1.0,0.05961181373493971,0.548557164143595,0.5694811674499323,0.5315661620070677,0.5795590203731963,0.4799005279223817,0.49477012583993735,0.6124448957923667,0.6427332301512949,0.5925404375625807,0.5929401290849424
transfers_balance,0.10621251427362705,0.11147714790267314,0.07521219886509549,-0.008536793942534983,0.04719978888320945,0.15072996630677785,0.08252947662908043,0.13536527754897726,-0.09163327620235365,-0.011981215243986642,0.025121949607327013,0.022327320412475496,0.08023255720769515,0.05961181373493971,1.0,0.1285840892384485,0.11029878461402952,0.216164770387287,0.18989583940206975,0.027273512835679754,0.019569972738367268,0.19707967186797934,0.1697838349211205,0.06095967639636728,0.0548991426074989
saves_ewm_3,0.8370635682709205,0.35354286211844843,0.6414627117067965,0.11410828334948149,0.340538253350112,0.812920707839934,0.6860582716304742,0.6634359651236132,0.026337691391033036,0.0043578900085019644,-0.00463124136393271,0.5761758187157936,0.7002215007519353,0.548557164143595,0.1285840892384485,1.0,0.9913009533283299,0.6149775679333949,0.6402106309589323,0.8666776894693561,0.8716233785508896,0.8721029067906987,0.8753750735034577,0.6443760300238325,0.6367599856575815
