,feature,importance,importance_mean,importance_std,importance_ratio,mean_abs_correlation,max_abs_correlation
0,bps,0.3363975,0.2415507477766851,0.004418396878128881,1.392657658659187,0.5747656757076299,1.0
1,points,0.07238015,0.021934563574782674,0.00035215072416794747,3.29982165487751,0.5198308082097174,1.0
2,points_ewm_3,0.06746188,0.06978476318469837,0.0010647846621889107,0.9667135773283938,0.6126338019092271,1.0
3,points_ewm_6,0.032955136,0.06427824412483348,0.000446937739027386,0.512695027669396,0.6133481454723204,1.0
4,saves_ewm_3,0.032415442,0.06550248763956967,0.0008539386872170017,0.49487345193788695,0.5780560094087798,1.0
5,goals_conceded,0.029078413,0.018896455977363134,0.00012020751070722408,1.5388289124617633,0.36977873926289073,1.0
6,total_points_ewm_6,0.028866874,0.01806110801472014,0.0005767116898455121,1.5982892096402528,0.5129725323300984,1.0
7,next_opp_diff,0.02865515,0.03070918855355771,0.0009301757943556022,0.9331132555090506,0.04989963600784588,1.0
8,clean_sheets_ewm_6,0.02584089,0.05363785071512013,0.00046748319392851765,0.4817659417367339,0.5356369604582369,1.0
9,goals_conceded_ewm_6,0.02570258,0.0363778493711155,0.000303369948118635,0.7065448137789418,0.5079490862747353,1.0
10,clean_sheets_ewm_3,0.025455618,0.05315623463257566,0.0006323289922333321,0.4788830219661982,0.5236370553075438,1.0
11,selected,0.0252278,0.07071383063805621,0.0022810432351912835,0.35675906373622374,0.42436582446580345,1.0
12,value_efficiency,0.024627067,0.037321559306835964,0.0013116621727688503,0.6598616886881965,0.5412148274980089,1.0
13,goals_conceded_ewm_3,0.024113458,0.052310465886930536,0.00040428400228117377,0.46096813020300054,0.49782925972397074,1.0
14,value,0.023465132,0.05585735629579232,0.001565860120092067,0.42009027811000155,0.45201467722236527,1.0
