,feature,importance_mean,importance_std
5,bps,0.2415507477766851,0.004418396878128881
13,selected,0.07071383063805621,0.0022810432351912835
21,points_ewm_3,0.06978476318469837,0.0010647846621889107
15,saves_ewm_3,0.06550248763956967,0.0008539386872170017
22,points_ewm_6,0.06427824412483348,0.000446937739027386
11,value,0.05585735629579232,0.001565860120092067
18,clean_sheets_ewm_6,0.05363785071512013,0.00046748319392851765
17,clean_sheets_ewm_3,0.05315623463257566,0.0006323289922333321
16,saves_ewm_6,0.05246945053636933,0.001762829955632831
19,goals_conceded_ewm_3,0.052310465886930536,0.00040428400228117377
14,transfers_balance,0.0451376074806825,0.0008834387611132979
6,total_points,0.040048429725395795,0.0007511406640192987
12,value_efficiency,0.037321559306835964,0.0013116621727688503
20,goals_conceded_ewm_6,0.0363778493711155,0.000303369948118635
9,next_opp_diff,0.03070918855355771,0.0009301757943556022
7,points,0.021934563574782674,0.00035215072416794747
0,saves,0.020856559946406405,0.0006003569106520361
2,goals_conceded,0.018896455977363134,0.00012020751070722408
24,total_points_ewm_6,0.01806110801472014,0.0005767116898455121
23,total_points_ewm_3,0.012269396730249692,0.0003791180048448423
8,opponent_difficulty,0.00683687807096407,0.0004521478204172934
10,was_home,0.0052070432162640845,0.0003043100130514324
4,bonus,0.00221766073733487,0.00011963514153012004
1,clean_sheets,0.0005788278877062903,4.892398231792376e-05
3,penalties_saved,0.00016908979687044746,2.9814440375589696e-05
