,feature,importance,importance_mean,importance_std,importance_ratio,mean_abs_correlation,max_abs_correlation
0,points_ewm_3,0.2978734,0.09448628309814422,0.0009652029292915598,3.1525571525858935,0.624930155527205,1.0
1,ict_index,0.10513634,0.040335810206827194,0.0004087887723615999,2.606526106890323,0.5698172546422714,1.0
2,points_ewm_6,0.04954373,0.028726959282491294,0.0009051756136169852,1.7246423621587057,0.6180025867881134,1.0
3,creativity,0.035934553,0.030000522385130336,0.0002305871714821052,1.1977975612893563,0.4582510472211165,1.0
4,threat_ewm_3,0.03443939,0.028250514718985077,0.0005037072380256553,1.2190711923359228,0.5582399933685487,1.0
5,points,0.032070562,0.01564405170780152,0.0004378662813411224,2.0500163795462503,0.5441049987476972,1.0
6,next_opp_diff,0.028232222,0.026061749650306054,0.0009910013706953236,1.0832819285648336,0.04117552031728993,1.0
7,threat_ewm_6,0.027647957,0.025214385326301225,0.0005234286581646549,1.0965152173244812,0.553305913944739,1.0
8,influence_ewm_3,0.026043259,0.03573571354251668,0.0004764776868587271,0.7287739917772312,0.6077886389035411,1.0
9,value,0.023218893,0.04901837621121037,0.0006435637859525658,0.4736773085803597,0.40708350486013495,1.0
10,creativity_ewm_6,0.021295493,0.024603651713179152,0.0002699725954791632,0.8655419820154228,0.5385718969808011,1.0
11,clean_sheets,0.019281082,0.0054576740845653,0.00019810835605478015,3.532838633553695,0.2705867084980346,1.0
12,selected,0.018727526,0.029790808090633437,0.0007362146806965275,0.6286343764731774,0.41162882202068185,1.0
13,total_points_ewm_6,0.017747963,0.01636998734923505,0.0002517540683585092,1.0841769433732256,0.46219075841119867,1.0
14,creativity_ewm_3,0.017245505,0.03112787879709835,0.0005782381387226728,0.5540212077261367,0.540265945397607,1.0
