,feature,importance_mean,importance_std
28,points_ewm_3,0.09448628309814422,0.0009652029292915598
14,value,0.04901837621121037,0.0006435637859525658
17,transfers_balance,0.040366114280305655,0.0008269124495340421
6,ict_index,0.040335810206827194,0.0004087887723615999
24,influence_ewm_3,0.03573571354251668,0.0004764776868587271
15,value_efficiency,0.03475517133731927,0.0009551469726436041
22,creativity_ewm_3,0.03112787879709835,0.0005782381387226728
4,influence,0.03063355375719832,0.0006885140541135603
3,creativity,0.030000522385130336,0.0002305871714821052
16,selected,0.029790808090633437,0.0007362146806965275
29,points_ewm_6,0.028726959282491294,0.0009051756136169852
26,threat_ewm_3,0.028250514718985077,0.0005037072380256553
12,next_opp_diff,0.026061749650306054,0.0009910013706953236
27,threat_ewm_6,0.025214385326301225,0.0005234286581646549
23,creativity_ewm_6,0.024603651713179152,0.0002699725954791632
9,total_points,0.02189286055692976,0.0003505854395900251
5,threat,0.021031231579734477,0.00026362725272031977
8,bps,0.01974429329342764,0.00023775131207855803
31,total_points_ewm_6,0.01636998734923505,0.0002517540683585092
10,points,0.01564405170780152,0.0004378662813411224
21,assists_ewm_6,0.015046984101130612,0.0003127929993772676
19,goals_scored_ewm_6,0.014691825928778135,0.0002626955618900046
18,goals_scored_ewm_3,0.014008198309388908,0.000278755455233324
20,assists_ewm_3,0.012266987175706356,0.0003166178277254142
30,total_points_ewm_3,0.01225141514228203,0.00025875031145460606
25,influence_ewm_6,0.011970386646608367,0.00037901561958800814
2,clean_sheets,0.0054576740845653,0.00019810835605478015
11,opponent_difficulty,0.0033000506513147345,8.416433643608171e-05
13,was_home,0.0021674229370737706,0.00012376146786011072
7,bonus,0.001616932348025002,5.813674327694713e-05
1,assists,0.001026693101056919,9.16137083995497e-05
0,goals_scored,0.00015679988232315535,2.134023875874789e-05
